Gene,log2FC,p-value,adj_p-value
SCN9A,-2.581039963911922,1.3318001542443738e-05,0.0006893371484640365
POMC,-1.2337057446144795,6.9106404045283054e-06,0.0005014939558402619
RASIP1,-1.1695074348402614,0.00786945459251245,0.045381524326782614
ADAMTS1,-2.5463768407599066,0.00016313558778977856,0.002837806707532573
ABI3BP,-3.7590255695806887,2.4817099211748223e-07,0.00011350123630880642
INA,-2.0952103577851666,2.197543521117852e-05,0.0008566612806957558
HCFC2,-1.1547034590173337,0.0006758544925731327,0.007599944182193512
TRPC1,-1.7479987964849761,0.00011290591345786479,0.0022482105894208308
CAMK1,-1.1190379368674506,0.00517029141226176,0.033348887275976916
HIGD1A,-1.1101090380606011,0.005044643871666153,0.03279950408923824
SGCE,-1.735644506762678,0.00010514790243151558,0.002135251588121738
CIRBP,-1.1726295220874576,0.0031356423185271314,0.022897128106035947
C1orf115,-1.8500230774881021,0.0001452905867101621,0.002658792556451649
MYL9,-3.638197112110206,1.2613116676820087e-05,0.0006659094949527165
NFIC.1,-1.2926171745663675,0.0037649352995800063,0.026171133527495255
PEG3,-3.2802991905335483,2.5281834505495313e-05,0.0009143667368522397
DIP2C,-1.9912113189826253,0.00014971534606606098,0.0026945225858584867
SEMA3G,-1.0172193310630064,0.001753299066516887,0.01484609851110811
DLG2,-2.171111167494625,8.797842724622123e-06,0.0005510320693332677
JPH2,-2.0448305546607397,0.00018641380751141447,0.0031293230402676528
NCAM1,-1.4598376896621827,0.0004089156704348429,0.005239976412768819
CD209,-2.099576189677212,0.0013015360627396605,0.0120235514317306
SLIT2,-2.4283875273309583,1.2701399695844621e-05,0.0006672342258130516
MPPED2,-2.048320310663727,0.000490923023077566,0.006009307213353106
ACSBG1,-1.4533666365799534,2.587060059841948e-05,0.0009184033889123882
PTPRZ1,-1.6030187971030487,2.8101737130113846e-05,0.0009497394731045844
SCN2B,-1.478318354778464,4.2493416535983644e-05,0.0011870052518609822
GEM,-1.0169019590945918,0.008592134686621783,0.048541653374017876
CCL21,-2.3203029908642856,0.00016529672313500223,0.0028651234840537114
TLR7,-1.3189074574687794,0.0020408523524261405,0.016653292109171266
AFF3,-1.6989452641712013,2.313613818254279e-09,1.2214724153473465e-05
CHST5,-1.2591485885355107,0.0008272233045082293,0.008743394266568961
GREM2,-2.3834956937790173,1.1798442389659408e-06,0.00021856097051300646
FRMD4A,-1.1803386219914906,0.0020455025920168824,0.016678348933672787
CLCA4,-3.5656429675856485,3.1102364507257726e-05,0.0010076279534032488
DPYSL3,-2.675237808089969,0.00014936723628298368,0.0026945225858584867
PCYOX1,-1.1579825031380433,0.004241895826725789,0.02867488990678464
ADARB1.1,-2.196325302912427,0.0006021559031409877,0.006964035247826604
AKAP7,-1.3327841072443847,0.004046171933923376,0.027688612735124383
SLC25A23,-1.7534409000201339,0.000750911395164846,0.008170652348130669
PDZD3,-1.2466986518807284,0.0005889494000494978,0.006871510182455964
MYOM1,-4.70152260418098,2.071525097746787e-05,0.0008329667450653952
CTSG,-2.5074639534588226,2.0399730357073836e-05,0.0008305520358082521
ITM2C,-1.4626160484401975,0.0029024716344680426,0.021720197015129738
ATP2B4.1,-3.2610681698972837,5.126529599174827e-05,0.001347579245776167
SELENBP1,-1.8511669096177468,3.13001090118631e-05,0.0010076279534032488
LMOD1,-3.8240829103165894,2.6870801903500127e-05,0.0009373923389802846
FOXF1,-1.9014271903176798,0.00015543753785122717,0.002753800272099174
HAND1,-5.807022974649473,3.081773650804035e-05,0.0010076279534032488
ITGB1BP2,-1.9258766313601268,0.001313777128070471,0.012068241549488443
PDE2A,-1.3000855907143085,1.6806548480256074e-05,0.0007656084104038916
PXMP2,-1.0140763271401685,0.0012441240835294502,0.01160486413249776
SLC25A4,-1.5823327410222026,0.0009690370292915862,0.009707100985317066
PDGFRA,-1.5869248647192056,0.0001180768006160459,0.0022876567664308783
RASSF2,-1.8353812205939217,0.0009236319308640632,0.009397639111446214
PCP4,-2.87622132468721,0.0008717301597882464,0.009068768173739588
GYPC,-2.385032084968575,2.0854978887651314e-05,0.0008329667450653952
STAB1,-1.86126594780482,0.00042828350100841965,0.005428866131029896
BMP3,-1.1641818450018753,3.874093839022831e-05,0.0011461053394180353
CPVL,-1.036308000006757,0.008896676626310641,0.04974146004413595
PDZRN4,-3.642573356230436,3.6198356043787526e-05,0.001114339479493739
PDE9A,-2.4667048105166396,8.001921220481996e-07,0.00019817436322871167
FXYD1,-2.939689167846312,6.735467143879516e-06,0.0005008436448748156
MT1H,-1.4524920620401054,0.004518700207336802,0.03013823601000307
VIPR2,-2.384902900942166,7.14106389760502e-05,0.0016718956473350645
FOXF2,-2.373849789997334,4.6490446194145586e-05,0.0012697109955196516
MYO1A,-1.3536839532972036,0.007615518862955983,0.0442555111028906
SCUBE2,-1.681186824461492,3.899199017040064e-06,0.00036539219299613456
CR2,-1.2603316954927601,0.0002834406179633374,0.004105417674999835
PDE6A,-1.2615629684758334,0.00013297335212833798,0.002493899867003767
PRND,-1.9714542997978615,0.00823190056626113,0.04698412869143312
AKAP12,-2.1377460186546235,4.8333013980457653e-05,0.0013054091185004909
PDK4,-3.711081545318306,6.3410169054905e-06,0.0004923146875373102
PIGR,-1.0319893541420269,0.007735138530045498,0.04476604828273936
BCHE,-2.91207692336886,3.9905082290380735e-06,0.00036611103466061077
GLI3,-2.542071860118182,5.238566907377766e-05,0.001359517289016077
CNTN2,-1.1389606956942615,2.579384083283616e-05,0.0009184033889123882
CCL23,-3.0139623881614206,2.4929005274993483e-05,0.0009139769677036674
THBS1,-1.4638081961452103,0.003615045780738463,0.025371537180098817
PLXNB3,-1.240991604427238,0.0006681118238486922,0.0075450189818377965
CSF1R,-1.5445867245492704,0.0031264439703075006,0.02287742334197983
TM6SF2,-1.2059192564711623,0.0024853809419113837,0.01938193306177422
ST5,-1.08751240303311,0.0019203827471184207,0.015903781511234043
LGALS2,-2.815932535871685,1.329594327693651e-07,0.00010902937886291885
RTN1,-1.175052314597923,0.0012818032057328728,0.011886682689172227
FLNA,-3.023885329654995,2.023537457835086e-05,0.0008281601557085531
MOXD1,-1.26997105246677,0.007972257944046603,0.0458741534774867
CAV1,-2.200163401287593,1.1464433304882559e-05,0.0006438986769481646
TGFB3,-1.9314714440706051,0.0028660687896919315,0.021540019299019858
C16orf45,-1.1711988825432387,0.0002100134908710788,0.0033573265243156047
SCGN,-2.7312216174995467,1.1168140439724055e-06,0.00021440799073281147
