Gene,log2FC,p-value,adj_p-value
CHAF1B,1.7844676457869677,8.819435525837886e-06,0.0005510320693332677
PPAT,1.9557316452736297,3.6223787073102823e-06,0.00035746445579896513
CKAP2,2.045909453437105,1.9198585544420528e-06,0.0002598946984147902
TM9SF4,1.4293814866712407,0.002889731369227586,0.021640193991258213
MTHFD2,1.3844456922815316,0.00011402436096237366,0.0022504359390686044
LRP4,1.1838022971303028,0.00517431757226108,0.033348887275976916
NIT2,1.1816714114932705,0.0003070792909863069,0.004317510297635705
TMPRSS3,2.1459869197716976,2.512959771363724e-06,0.0002948260247314396
NEBL,1.4477870748376658,0.003622837081472721,0.02538389963057098
SRPX2,1.9149178017438537,0.0009566381271550236,0.009629305991067583
VSNL1,2.907512132183154,1.6278462912668314e-07,0.00010902937886291885
IMPDH1,1.3056154664111292,0.00025334138856454965,0.003805166033930412
BZW2,1.269264865186026,0.0006995169170868165,0.007774946450020732
SS18L1,1.1771043487391117,0.007122337643503418,0.04206082951775872
TNFRSF11B,1.7673420997952796,3.4050723908866887e-06,0.00035190626410389145
ABCE1,1.3680082408388212,0.0005202004539528011,0.006270315745762131
TH,1.0573335887989217,0.008015497835105748,0.04607274994059967
PRR7,1.9848987118530033,2.4750760374787494e-07,0.00011350123630880642
GALNT6,1.0429774968212189,0.00037956839504353407,0.004972534346482228
LRP8,2.981103911928873,8.070364256875275e-07,0.00019817436322871167
BRCA2,1.2332115959661474,1.2422746327949602e-07,0.00010902937886291885
FGB,1.7947042626131315,0.0005988487279114653,0.006956263716190497
LSM7,1.0510251266851374,0.0015661081386011168,0.01374608132625868
SNRPF,1.359269228709135,0.0004787527885019932,0.005912456951804147
LEF1,1.6673078159026,0.0007842221144120264,0.008416652590345483
GART,1.6460395383745545,0.0002722816798302794,0.003992215434322678
MPP6,1.5791022131892853,7.085702369048255e-05,0.0016663236373002344
PAXIP1,1.0192672966970222,0.0007490166495995787,0.008170652348130669
LAPTM4B,1.5037515818724545,0.005015038815494936,0.03264722247398954
CYP39A1,1.08885271400184,0.000543355337196048,0.0064681950456066195
MMP12,1.9187269718379627,1.5893189696288004e-05,0.0007559287837977704
AURKA,2.4905536270777335,1.1812170694069019e-05,0.000647745956660841
MCM2,2.03773495542595,1.8664182300816926e-06,0.0002593093433083236
SLC5A1,1.5726882294727638,0.0013564973130570342,0.012368959523807621
GGH,1.887244647230387,1.1342142511261151e-05,0.0006404368062909438
CXCL2,1.143007466374137,0.008785752005155177,0.04922123968415332
IER3,1.1352283497643259,0.006743963012143088,0.040436970724144726
BYSL,1.5588577756819222,5.816417542656379e-05,0.0014671911718908274
TOMM40,1.5068712313445374,0.001631020455722559,0.01415114625470378
SLC6A4,1.3985069506057703,0.007008854311722599,0.04153001833753026
SLC7A1,1.359616723191888,0.004777561926108116,0.03148956078512834
FXYD5,1.605453026152358,0.003632018501804755,0.025414501895663622
CDCA4,1.3253576908723976,0.0007696339940967722,0.00830088390568725
AURKB,1.9017048923060609,1.187989426966032e-05,0.000647745956660841
PNPO,1.370942030224913,0.0017569952758500636,0.014865475254567965
MMP7,5.703873392526855,0.00011401030868623864,0.0022504359390686044
TGDS,1.4099487652131149,0.00016551996640522436,0.0028651234840537114
KIF2C,1.9467126957501044,9.90838659148069e-07,0.0002014072739492583
TOP2A,2.231640616891426,3.094979567159212e-07,0.00012163116415853304
PYCRL,1.2033206755046515,6.940130604226176e-05,0.0016467604280904313
PDCD2,1.1194690152663014,0.0005562704594969513,0.006588833967843323
RFWD3,1.32505796489241,0.0008778143501619112,0.009096017392894623
SLCO1B3,3.5218594364774423,0.008295853508889934,0.04719607607778492
PHLDA1,2.0565669437833374,0.00011223025979472728,0.0022482105894208308
TBC1D4,1.0514595440594894,0.00028336103836940063,0.004105417674999835
KLK10,1.9644121048040213,3.528076132718065e-05,0.0010924620494243416
TRIM29.1,1.4655142957136214,0.0054327444580839586,0.03445306230204716
ZBED2,1.1058794779317043,0.004685681318264495,0.030961269736892866
ZNF195,1.0208891602755454,0.0007862321821770463,0.008422976148303661
IL13RA2,1.9734100593356723,4.004748875064255e-05,0.0011647358488666186
UTP14A,1.525697976553458,0.0008657793756252358,0.00903336405852457
PTDSS1,1.0143231823077867,0.003463945685247241,0.02463017002728998
CDK4,1.4472347242520698,0.0002984075001528781,0.004235060207142796
TNFRSF12A,1.070989247490121,0.0025381082566223734,0.019676861293447607
LIPG,2.0411942168842767,0.00014576899012615427,0.0026597256774858143
