Gene,log2FC,p-value,adj_p-value
PCYOX1,-1.1579825031380433,0.004241895826725789,0.02867488990678464
ADARB1.1,-2.196325302912427,0.0006021559031409877,0.006964035247826604
AKAP7,-1.3327841072443847,0.004046171933923376,0.027688612735124383
SLC25A23,-1.7534409000201339,0.000750911395164846,0.008170652348130669
MPP6,1.5791022131892853,7.085702369048255e-05,0.0016663236373002344
PAXIP1,1.0192672966970222,0.0007490166495995787,0.008170652348130669
LAPTM4B,1.5037515818724545,0.005015038815494936,0.03264722247398954
PDZD3,-1.2466986518807284,0.0005889494000494978,0.006871510182455964
MYOM1,-4.70152260418098,2.071525097746787e-05,0.0008329667450653952
CYP39A1,1.08885271400184,0.000543355337196048,0.0064681950456066195
CTSG,-2.5074639534588226,2.0399730357073836e-05,0.0008305520358082521
ITM2C,-1.4626160484401975,0.0029024716344680426,0.021720197015129738
MMP12,1.9187269718379627,1.5893189696288004e-05,0.0007559287837977704
ATP2B4.1,-3.2610681698972837,5.126529599174827e-05,0.001347579245776167
SELENBP1,-1.8511669096177468,3.13001090118631e-05,0.0010076279534032488
LMOD1,-3.8240829103165894,2.6870801903500127e-05,0.0009373923389802846
AURKA,2.4905536270777335,1.1812170694069019e-05,0.000647745956660841
FOXF1,-1.9014271903176798,0.00015543753785122717,0.002753800272099174
HAND1,-5.807022974649473,3.081773650804035e-05,0.0010076279534032488
ITGB1BP2,-1.9258766313601268,0.001313777128070471,0.012068241549488443
PDE2A,-1.3000855907143085,1.6806548480256074e-05,0.0007656084104038916
MCM2,2.03773495542595,1.8664182300816926e-06,0.0002593093433083236
SLC5A1,1.5726882294727638,0.0013564973130570342,0.012368959523807621
PXMP2,-1.0140763271401685,0.0012441240835294502,0.01160486413249776
SLC25A4,-1.5823327410222026,0.0009690370292915862,0.009707100985317066
GGH,1.887244647230387,1.1342142511261151e-05,0.0006404368062909438
PDGFRA,-1.5869248647192056,0.0001180768006160459,0.0022876567664308783
RASSF2,-1.8353812205939217,0.0009236319308640632,0.009397639111446214
PCP4,-2.87622132468721,0.0008717301597882464,0.009068768173739588
GYPC,-2.385032084968575,2.0854978887651314e-05,0.0008329667450653952
STAB1,-1.86126594780482,0.00042828350100841965,0.005428866131029896
CXCL2,1.143007466374137,0.008785752005155177,0.04922123968415332
BMP3,-1.1641818450018753,3.874093839022831e-05,0.0011461053394180353
IER3,1.1352283497643259,0.006743963012143088,0.040436970724144726
BYSL,1.5588577756819222,5.816417542656379e-05,0.0014671911718908274
CPVL,-1.036308000006757,0.008896676626310641,0.04974146004413595
PDZRN4,-3.642573356230436,3.6198356043787526e-05,0.001114339479493739
PDE9A,-2.4667048105166396,8.001921220481996e-07,0.00019817436322871167
FXYD1,-2.939689167846312,6.735467143879516e-06,0.0005008436448748156
TOMM40,1.5068712313445374,0.001631020455722559,0.01415114625470378
SLC6A4,1.3985069506057703,0.007008854311722599,0.04153001833753026
SLC7A1,1.359616723191888,0.004777561926108116,0.03148956078512834
FXYD5,1.605453026152358,0.003632018501804755,0.025414501895663622
MT1H,-1.4524920620401054,0.004518700207336802,0.03013823601000307
VIPR2,-2.384902900942166,7.14106389760502e-05,0.0016718956473350645
FOXF2,-2.373849789997334,4.6490446194145586e-05,0.0012697109955196516
MYO1A,-1.3536839532972036,0.007615518862955983,0.0442555111028906
CDCA4,1.3253576908723976,0.0007696339940967722,0.00830088390568725
SCUBE2,-1.681186824461492,3.899199017040064e-06,0.00036539219299613456
AURKB,1.9017048923060609,1.187989426966032e-05,0.000647745956660841
PNPO,1.370942030224913,0.0017569952758500636,0.014865475254567965
CR2,-1.2603316954927601,0.0002834406179633374,0.004105417674999835
PDE6A,-1.2615629684758334,0.00013297335212833798,0.002493899867003767
PRND,-1.9714542997978615,0.00823190056626113,0.04698412869143312
AKAP12,-2.1377460186546235,4.8333013980457653e-05,0.0013054091185004909
PDK4,-3.711081545318306,6.3410169054905e-06,0.0004923146875373102
PIGR,-1.0319893541420269,0.007735138530045498,0.04476604828273936
MMP7,5.703873392526855,0.00011401030868623864,0.0022504359390686044
TGDS,1.4099487652131149,0.00016551996640522436,0.0028651234840537114
BCHE,-2.91207692336886,3.9905082290380735e-06,0.00036611103466061077
GLI3,-2.542071860118182,5.238566907377766e-05,0.001359517289016077
KIF2C,1.9467126957501044,9.90838659148069e-07,0.0002014072739492583
CNTN2,-1.1389606956942615,2.579384083283616e-05,0.0009184033889123882
TOP2A,2.231640616891426,3.094979567159212e-07,0.00012163116415853304
