Gene,p_value,Log2FC,adjusted_p_value
B4GALT5,0.00457059230210824,0.5335522662451382,0.012460860222436919
SOX10,2.0208157089723506e-06,-3.0440635582936126,1.5831161751923187e-05
HOP,0.001762400724585259,-1.4321122868972394,0.005374352645375196
MYCN,0.003409807088652289,2.3045408049021407,0.009624338382569878
NRSN1,2.760578076776616e-05,-3.318593062092647,0.0001432195136932003
CCL24,0.001308015443693486,4.130551277158788,0.004134066762059595
RNF6,0.003131188494935475,,0.008930610127494031
PDPK1,3.1409473872636786e-05,1.195788102810563,0.00016014428140440691
C6orf62,0.002071086275727087,0.34945706722777103,0.0061820476238872045
NEK2,9.935667911464016e-12,,1.0064514015886655e-09
LAMC2,0.005107293075443576,0.9566799869061455,0.013740018140388102
CHFR,2.7124114921161543e-06,-0.6363148349716035,2.0077456303338262e-05
STS-1,0.003406112726554975,-0.76036930100258,0.009621939508303408
SCMH1,0.00264829265548054,-0.6139806653962232,0.007689754485494804
ZNF483,0.00018923522362704546,,0.0007589937083605815
CACNB2,3.441390639251756e-05,-3.07852079214613,0.0001734147940377688
TREX1,0.00397430921518519,0.5873796384641681,0.01102213722086114
TXNRD2,0.0020486974889815652,0.8754848273418494,0.006122633045341108
USP2,0.00015356583448636164,-1.0465574686468644,0.0006340414055919313
METTL8,0.0038757837185183913,-1.2972734238312587,0.01077988791519709
SMC6,0.018992407791637723,0.7991002356284396,0.04324413162780368
DHCR7,4.436100789210622e-08,2.2471629592642106,7.084986314459931e-07
ZER1,2.2615610742389366e-07,-1.427356384912259,2.6377744937390414e-06
PPIE,1.2033449541637002e-05,-1.3115986845401153,7.01208417734897e-05
MKNK2,0.007015068482253596,-0.34601189343870686,0.01815895906771456
ATOH8,2.964600498209348e-06,-2.243684651452403,2.1605353959354855e-05
CX3CL1,8.262924724090481e-06,-1.1698391906224206,5.108529174266234e-05
POU2F2,8.304589586820755e-09,-1.542797311840019,1.8646661477128708e-07
BCL2L1,3.3718913773559993e-06,1.3058011323624896,2.394431444150624e-05
CD1C,8.898860424343744e-05,-1.3725608822383002,0.0003929385343424395
DOK7,0.0004164618475411052,1.4171982114161992,0.0015098528559980189
MPP2,4.138747966125849e-06,-4.846767596982013,2.8469452676135144e-05
MRPL21,0.0030535784905948685,0.763949310576364,0.00872833207516513
ZMAT3,0.0009668810331285104,-0.9945846717065319,0.0031701579720548145
HMGB2,1.5517988826667686e-09,1.7298808016784877,4.917872344725656e-08
ADCY9,2.2033243550290118e-14,-1.4123544163137174,1.396529928341817e-11
ELK1,3.449424112223398e-08,0.8215959732158851,5.757864898838515e-07
ATP1B3,0.004655685110906146,-0.7999038529290168,0.012671048767064402
TESK2,0.005128174241569318,-0.7200472532575386,0.013791176794153684
RGL1,8.31880595761215e-11,-1.6679410335506564,4.878926802020621e-09
TRAF7,0.0025936862088204583,0.7339365570606105,0.007545021617685949
C10orf108,4.238024229537799e-05,-1.2486606996879468,0.00020738763131597293
ACSL3,0.005360468543441507,0.5256633087718408,0.014318679610801494
PTF1A,0.011646335083046926,,0.02830747205898028
MPHOSPH9,2.1870563238457402e-07,0.9929459691561986,2.56300356514495e-06
C12orf48,7.854422674517286e-16,2.169491450712715,1.58402284192265e-12
GPI,0.0024990066258173613,0.4179822900994594,0.007302155293352521
TMPIT,1.3672109983377015e-05,-0.7637313517559221,7.846325001216139e-05
ATP6V1G2,6.965204528468683e-08,-2.0433790781797354,1.0178926038178476e-06
C5orf21,1.3382274202101394e-06,-0.9421369878985253,1.13051169420951e-05
MED6,0.00096033968894473,0.35896202536399535,0.003150573152846775
CPSF1,0.001840512419231729,0.6851663594956303,0.005583198073053012
MRPS31,8.47594583220541e-06,0.7362468712667081,5.2187172451192005e-05
EFNB1,0.00029959863637896074,1.1121299362791124,0.0011347611660288313
HSPA1L,3.781789594639012e-06,-1.04633593070879,2.635727941170966e-05
FCHO1,1.7669909873643486e-05,1.4406379112740977,9.821831135978629e-05
TIGA1,1.735607361544138e-05,0.8595769777119031,9.659486630329944e-05
TMEM175,5.305983051971204e-07,-0.7372440948240975,5.2532655706542106e-06
RGS7BP,3.604953095962429e-05,-1.0786554102707422,0.00018060587055291447
C6orf105,3.8855873240609034e-05,-2.6140733058887857,0.00019257790258482368
CECR5,1.1930808341720738e-09,1.1526338492860564,3.992052070176966e-08
C15orf48,0.002464899691421158,-1.3078443635701422,0.00721484823254875
CASK,1.764507198471524e-06,1.6472383943074336,1.4121149960639354e-05
IL1R2,0.000804192100031389,1.886145750083501,0.0026940799678490386
C8orf15,9.881413840644676e-05,1.4370262802203198,0.00043092055168244837
UNC93B1,2.6238033521272555e-05,0.862018575608194,0.00013721464772180821
LOC347273,0.004536742016510057,-1.5648017190829977,0.012379223234226213
DCX,0.002859519364124955,0.48243146769808476,0.008225567631450726
ACO2,1.1657518292852714e-05,-0.7683084002879657,6.834921584846714e-05
C1orf58,0.00034768160530306166,1.3744522727835018,0.0012904414810177545
RANBP2,5.434522591715513e-06,0.9280256687500685,3.5689594190235924e-05
LENG8,0.013573681126394295,0.39082734233463423,0.03243763245803415
SCAMP2,9.153216507992746e-06,-0.7098878235124708,5.573839006678866e-05
KIF7,3.543325656070158e-05,-0.8789960729556752,0.00017796046265397417
NME4,0.001124362128978761,-0.7834238989947391,0.003621729268079691
TMED2,8.777045536354778e-06,0.7684793743802523,5.375526988601952e-05
RUNX1,7.28894115540011e-05,2.042786548845597,0.0003310767211126045
ZSCAN18,2.149241816387659e-07,-1.9442123147486132,2.5266974273844106e-06
SCARA3,3.241598661500873e-07,-3.1756004105624234,3.5027581445073244e-06
MLL4,4.758674441294966e-05,0.714328966878857,0.00022825174876905412
LDLRAD2,0.007259006360399084,-0.7345564962324556,0.018705284829723928
NUTF2,3.8867932076363156e-08,0.8737512857203615,6.340045626338532e-07
FAM86B1,4.3876045507349653e-08,1.0509206370231654,7.017636579200034e-07
ING5,0.001878937322933594,0.8830764082442748,0.00568111565652976
ZFYVE1,0.0030860907595594493,-0.5127651639818351,0.008806513687942734
ABR,0.010043767967267496,0.5691697702690801,0.024864518311110605
PTBP1,1.89213597787814e-09,0.8495223847410553,5.7500197990751594e-08
PRPS1L1,0.018896972946603707,0.284520050727477,0.043062192896502996
STK24,0.0003832853745270493,0.43469357004340203,0.0014058866978353278
PIK4CA,0.013255824010785282,-0.2110461329197424,0.031763577430898755
CASZ1,2.690839983714117e-10,-1.2682060086623892,1.2257411539776995e-08
PHF17,0.002338861906051629,-0.40405435276916446,0.006884993700086164
WDR53,0.011974696752660203,0.22603883561224958,0.029019737028732135
SLC7A11,5.29525896176144e-09,,1.3179881692158322e-07
GFPT2,0.0031572049444191087,-1.974001968374866,0.008996716054848235
C12orf46,0.00027229363589515484,1.9808554522279582,0.0010445377863908204
FLJ14668,2.1471769803952808e-07,0.8805372457177292,2.525608384575234e-06
HPS5,0.0010955126623874358,0.3454901699778823,0.0035432064298589992
PSMC6,0.0008461973955354783,0.4812400034746478,0.0028169332266745274
RIOK2,1.5743270757250287e-05,0.5702791190909728,8.898056521753896e-05
GPR1,0.0033963566744999434,-3.9738394882053574,0.009595615953528622
WDR77,7.85369963408048e-07,2.951634547922578,7.241333029195402e-06
MRPS22,8.215404376571419e-08,0.5651105627282931,1.1660302667297528e-06
DCLRE1B,1.5483294214084689e-06,0.8985155354250178,1.2698018441599065e-05
SCARF2,0.019139669232122382,-0.8066603539959596,0.04355261280597014
TNFSF14.1,0.018564224612148038,-1.7219859301064746,0.04244344623270041
UCK1,0.0014384605487998128,-0.4195000551961572,0.0044938471785065555
TSPAN3,0.013797316803740464,-0.7913392469032114,0.032879973786032704
TRIM27,3.9623218435000924e-11,1.1209452953519943,2.6963235514173636e-09
C1orf124,2.449017024523151e-06,0.7268174703823629,1.8523352769185674e-05
AHDC1,1.5053366390003876e-06,-1.0857331964347763,1.2391238589827308e-05
KCMF1,0.009217846586802168,0.7102493076259706,0.023100848246906832
EIF4B,0.019971420291648403,0.3419877320945428,0.04516268988276536
FAM57B,0.002497493622767976,-0.8120309825665473,0.007299657249997995
DMRTA1,0.0003504385049582754,,0.0012998040117027892
ENY2,0.0015822725449835327,0.6567096140908681,0.004891462393800821
ZMYND12,0.002012862427002212,-0.6400502408980868,0.006030160713115067
INTS6,0.01322837435861964,0.29617635340738246,0.03171150386553038
KIAA0427,1.9398938925007875e-05,-1.9878498482616802,0.00010638963191900486
C6orf59,0.0018073854897603318,-1.4191912910390991,0.005493976391455631
RET,4.21032247739833e-06,-1.7393986713786211,2.886334791057001e-05
TSHZ2,1.0967855936889015e-05,-2.1744407248427846,6.496953701039944e-05
DSP,4.428705297833512e-06,1.1938204324257402,3.007235945122089e-05
PRKRIR,0.00038264419065559213,0.6311248125365285,0.0014039991276056328
GPATCH1,0.01122262667015954,0.3475763758742021,0.02741276701726704
DVL1,0.02168700678166212,,0.048562083218370085
METTL3,6.6660501044502e-09,0.9263501964162284,1.5665217745457969e-07
KIAA1794,8.188227466000738e-14,2.8157094798596223,3.131855829409661e-11
GCNT2.1,0.010962944053247464,-0.8225994669214898,0.026852373951335072
MICA,0.00011113906629311276,-0.5398590535445074,0.0004776267041159267
SARS2,2.0452145258060264e-06,0.7976449507634218,1.598134520622786e-05
ABHD5,0.020095017347991143,-0.47937645551223973,0.04541903870074737
RFC2,0.0007107849096182375,1.4372124586880028,0.002417300695227806
BXDC5,0.0001459489409641594,0.38032746888998936,0.0006066575428796912
ZNF323,0.0004723319565511566,-0.9510631922200474,0.001684329227476428
LOC399818,0.00994133796234426,0.4190544123513078,0.02464945136432827
SF3A1,1.0157049538549211e-05,2.7085989232077226,6.081619081327279e-05
TAF1A,9.721187043721204e-05,,0.00042476819652927165
ANP32C,0.004837309918544472,0.6834987409356383,0.013097874189306795
TMEM159,0.00014663673371878992,-0.7028403750458825,0.0006087783790547318
ROR1,3.202884319710766e-06,-4.1582208629049795,2.2957281340375974e-05
GTF2E1,2.3586971830931808e-07,0.655735933655313,2.723859360215467e-06
TRNT1.1,5.840450270545043e-09,1.05574076048923,1.4284955766457688e-07
DKFZp434N035,9.770416769865667e-07,0.9715081507346541,8.666410460723708e-06
