Gene,p_value,Log2FC,adjusted_p_value
XPO4,5.2540697862576544e-08,1.2441512328690187,8.128053287192455e-07
MTP18,2.0559539747885725e-08,1.355387719606882,3.8102993297167663e-07
ADNP,2.0405098255301131e-07,1.2387010930188112,2.420677538479146e-06
CENPI,1.1793886116301723e-08,2.2454471371824685,2.4474796034054015e-07
RAD54L,1.2585653664207122e-12,3.527643275465632,2.0086341070990704e-10
EBP,2.874663082008128e-08,1.2501344016439173,5.005614270900181e-07
CYR61,0.0011697600020674913,-2.538066983150534,0.003747827250991512
ZMYND11,8.111066320225664e-06,-1.0440426643058878,5.038809724107705e-05
ZNF418,1.216805899608588e-06,-3.2964116010096207,1.0434334007312297e-05
L3MBTL,7.784753716088805e-05,2.5726847204632466,0.0003499432146660873
CD37,3.2877876180271366e-05,-1.9067671620925353,0.00016682589322578682
DKFZP586H2123,3.741387899756303e-05,-2.1724303042639965,0.0001864307034326007
KLRG1,1.66471539887449e-10,-1.5556232457786514,8.608402426254472e-09
FAM53A,0.00014402533567647177,1.4476852952706434,0.0005995605266742071
SYT13,0.00010952487575755474,1.3231900778912706,0.00047160323055232806
MYADM,1.152229068960931e-06,-1.8454684604431097,9.983950428980656e-06
GALNT5,4.506068969782764e-08,2.7293166408772738,7.176068487125688e-07
PTPRN,0.00018221593771276147,-2.088946111902423,0.0007349597022218001
C8orf30A,0.0002013144340004956,1.4372778912122888,0.0008015002519502861
GPR161,0.0018758687311665645,-1.4994063679802143,0.005673384039836273
WWC1,2.9042987912562205e-10,1.4643783535001598,1.3042300482839675e-08
LOC283537,2.789779153315984e-05,-1.1133010753832995,0.00014453166916665526
ACTC1,0.004027612398457003,-4.372068935434723,0.011150449700158513
DTX3,4.76146402856738e-07,-2.1604590240390387,4.825414253528495e-06
SAAL1,1.5102376650229497e-08,1.113369193870577,2.9807039466965405e-07
NUF2,4.614515322184062e-11,4.060209438411412,3.0197170474139008e-09
HIST1H2BJ,0.00025080742796793537,1.1545685755204227,0.0009722529182058452
ST6GALNAC2,8.38785575436405e-05,-1.4533122460771493,0.00037327220071175945
NRXN3,0.00672800844057425,-1.5020402280237892,0.0174996059615077
LOC732402,3.0042962817520414e-08,1.9684656911099783,5.186560989446482e-07
HMOX2,0.0011991194485967461,2.06542852574454,0.0038291731463466557
CAMK2D,0.0003026445988015498,-2.29979110200192,0.0011449297032424253
CAV2,2.14681441842322e-06,-1.7487561740187898,1.6567565650885512e-05
DNCL2A,0.00031313492079153884,1.0831545433082699,0.0011800904801047198
SLC1A1,0.0002742832657152223,-1.5678340916445608,0.0010510796280232323
DPM1,2.14349804560002e-06,1.347706697785659,1.655111752300412e-05
TMCC2,6.464371527734193e-07,-2.233716233034942,6.136312279471773e-06
HLA-DOA,2.58689699419438e-05,-1.5193697951881635,0.00013547621085743185
NEFL,5.378764132675724e-05,-1.494003974840517,0.0002538776670622942
PHLDA3,0.0003434407032890963,-1.5898756006136239,0.0012774796381229566
ANKRD16,5.989444595881851e-08,1.289979824708909,9.008124672206304e-07
PDE8B,4.706980787686373e-06,-2.1751462782648154,3.167111367729284e-05
CYP4B1,0.01671810068637619,-1.1558993158591577,0.0387660024695902
CD79A,0.00025212229253450565,-2.6706087834126513,0.000976957369010563
DSCR2,8.896882761643698e-11,1.694876601672405,5.0737390021671925e-09
FZD6,5.4028551074864725e-06,1.0154570578656505,3.55236922657024e-05
SVIL,0.0007202141270398987,-1.653823524079157,0.00244561919397721
PMP22,2.4216207791177264e-07,-1.9281617401593127,2.77916375395487e-06
BOLA2B,1.676002010207094e-06,1.2574061657822337,1.3552859939591224e-05
RFC5,2.8078667497592763e-09,1.6348896496304786,7.89476755090745e-08
C6orf66,9.261163594078002e-09,1.1675185597263438,2.0201539151526686e-07
SLC15A3,1.8015679558207893e-06,-1.150784591243914,1.4381426243946882e-05
FAM24B,1.3490868424730584e-06,1.530784987073405,1.1375196698374126e-05
SGCG,4.732678682440674e-05,-2.66392265335741,0.00022726883775151508
TOP1MT,4.629428471839212e-08,2.51727426199679,7.330745192523753e-07
MAGEH1,2.290425856347746e-06,-1.2326597339980054,1.7508892900488765e-05
ACVRL1,0.0005361918274309598,-1.4474572482372334,0.001882995013412761
GALK2,1.3712134718598307e-06,2.1608319217805665,1.1496179756953207e-05
EXOSC5,2.0053329306071765e-11,2.177607126400864,1.7176179819532667e-09
BAG3,9.78806372861836e-06,-1.0800420275531852,5.8892976879758534e-05
DNAJC3,9.372687642701658e-08,1.2898207327823021,1.2954747829638228e-06
RAD51,9.021512082862765e-09,2.5721699905075877,1.9795571122277704e-07
MSN,4.276062623925435e-07,-1.1603185410081327,4.41288044454082e-06
FLJ38984,3.192188307683915e-05,-1.2875161900004004,0.00016245814502789625
MEP1A,0.000498229294575414,-1.690759354606545,0.0017658921027098552
HIG2,1.3471663511379505e-06,1.8485695101684554,1.1363322560321024e-05
SNRPN.1,3.7332056598853857e-06,-1.4410207784211329,2.6059608042447263e-05
CEACAM7,9.076931090618349e-05,-2.4894955052901686,0.0004000052429763159
MYH11,2.5441276538937e-09,-4.227835038438382,7.301284330398168e-08
UCHL3,2.0718063240173404e-08,1.476107595872266,3.8332736857381714e-07
MMRN1,1.055975667062394e-06,-5.258057456339165,9.268320593038145e-06
ARR3,0.012055811210206555,-1.7096265383940161,0.02919571847175475
ZNF582,0.0013297889094933423,-1.0827897802246649,0.004196903850931897
ACAA2,0.00014792606573244566,-1.1820625803801086,0.0006130378931829954
PKD2,3.422259283975323e-05,-1.5165343847956398,0.00017258331428894879
POPDC2,7.681429007517957e-07,-4.739424462307815,7.1120543031209665e-06
ITGA8,4.658752481411483e-06,-1.9527105207238433,3.139421781519816e-05
LEFTY1,0.00027979311287475595,2.4257216773759183,0.001069422883530942
SGK2,0.001282774510092408,-1.1778432501739644,0.00406645752099028
BTNL3,0.00013766009905150542,-2.6353907588552827,0.0005769604453728692
STARD13,5.319714847569914e-06,-1.1299615228021,3.5039356941357176e-05
MCOLN2,0.014487322094578339,-1.1139730762527407,0.03426663326006246
LOC285382,1.8481811370572256e-06,-2.146970466466229,1.4695358546407705e-05
ARRDC4,1.6738756383176157e-06,-1.321232865806766,1.3547339350761761e-05
GPR177,1.3643416098424536e-07,-1.6098928239782655,1.7506374477974608e-06
BMP5,0.000402162339852674,-1.9029259049482183,0.0014656596888669713
CRLF1,0.0026536135641888436,-1.2251114013960978,0.007703188080079209
LIMK2,4.253375760140897e-10,1.4661733435677595,1.7736257117098808e-08
LACTB2,2.9594409109491104e-05,1.2196517970213634,0.00015225472441673252
CDCA2,5.299519685090707e-09,3.629316937772333,1.3179881692158322e-07
TCP1,3.167642342905231e-05,1.264411160568697,0.00016138383114031244
RAB31,0.00025308016008117443,-1.0374622755803191,0.000979813310862264
ENPP5,1.3839711437131145e-06,1.9615896472618886,1.1568204917909469e-05
ATP6V1C2,4.2114742648021025e-05,6.3531345961959005,0.00020633247590629383
PPP2R2B,5.6766669283331864e-08,-4.209906021053218,8.625423228639959e-07
PAQR4,1.8230131847224366e-13,2.390101596462812,5.3922299319843383e-11
