Gene,p_value
SEMA3B,1.017221888851447e-07
EDG1,0.00024461844475251644
RBBP4,0.00010804140066361268
WHSC1,7.98654730659634e-05
SIKE,0.0029978165152612824
TEX10,2.0687275825916457e-11
KCTD9,1.6324068110791087e-06
PIGO,5.446165642503943e-08
ZZZ3,3.7073203006218306e-06
UBL7,0.04764505169142194
CUL3,0.03063908235888059
TIMM9,0.0004239572036930422
ZFAND2B,0.0019981681807282733
B4GALT5,0.00457059230210824
SOX10,2.0208157089723506e-06
HOP,0.001762400724585259
MYCN,0.003409807088652289
NRSN1,2.760578076776616e-05
GALE,0.03640371526151411
CCL24,0.001308015443693486
RNF6,0.003131188494935475
PDPK1,3.1409473872636786e-05
C6orf62,0.002071086275727087
NEK2,9.935667911464016e-12
LAMC2,0.005107293075443576
CHFR,2.7124114921161543e-06
STS-1,0.003406112726554975
SCMH1,0.00264829265548054
ZNF483,0.00018923522362704546
PBEF1,0.0332741761012854
CACNB2,3.441390639251756e-05
TREX1,0.00397430921518519
TXNRD2,0.0020486974889815652
USP2,0.00015356583448636164
METTL8,0.0038757837185183913
SMC6,0.018992407791637723
DHCR7,4.436100789210622e-08
ZER1,2.2615610742389366e-07
PPIE,1.2033449541637002e-05
MKNK2,0.007015068482253596
ATOH8,2.964600498209348e-06
CX3CL1,8.262924724090481e-06
POU2F2,8.304589586820755e-09
EGFLAM,0.03928191459415537
BCL2L1,3.3718913773559993e-06
CD1C,8.898860424343744e-05
DOK7,0.0004164618475411052
MPP2,4.138747966125849e-06
MRPL21,0.0030535784905948685
ZMAT3,0.0009668810331285104
HMGB2,1.5517988826667686e-09
ADCY9,2.2033243550290118e-14
ELK1,3.449424112223398e-08
HAPLN3,0.042211729847310024
ATP1B3,0.004655685110906146
ZNF24,0.025440228197065793
TESK2,0.005128174241569318
ITGB2,0.031503462942238915
RGL1,8.31880595761215e-11
TRAF7,0.0025936862088204583
C10orf108,4.238024229537799e-05
ACSL3,0.005360468543441507
PTF1A,0.011646335083046926
MPHOSPH9,2.1870563238457402e-07
C12orf48,7.854422674517286e-16
GPI,0.0024990066258173613
TMPIT,1.3672109983377015e-05
ATP6V1G2,6.965204528468683e-08
C5orf21,1.3382274202101394e-06
MED6,0.00096033968894473
CPSF1,0.001840512419231729
MRPS31,8.47594583220541e-06
EFNB1,0.00029959863637896074
HSPA1L,3.781789594639012e-06
FCHO1,1.7669909873643486e-05
CHD1,0.04991984589970258
RASA3,0.03358788827144499
ZDHHC22,0.03312248056309676
TIGA1,1.735607361544138e-05
TULP2,0.04365925567394714
LSM14A,0.027034706096016846
TMEM175,5.305983051971204e-07
RGS7BP,3.604953095962429e-05
C6orf105,3.8855873240609034e-05
CECR5,1.1930808341720738e-09
C15orf48,0.002464899691421158
MPV17L,0.029705302935287073
TRIM32,0.0265287996519118
CASK,1.764507198471524e-06
IL1R2,0.000804192100031389
C8orf15,9.881413840644676e-05
